time(s),cellId,rnti,lcid,packetSize,delay(s)
1.01446,4,3,3,1530,0.00444948
1.01474,4,2,3,1530,0.00473268
1.01503,4,1,3,1530,0.00501337
1.01539,2,5,3,1530,0.00537177
1.01539,6,5,3,1530,0.00538308
1.0156,2,4,3,1530,0.00557852
1.0156,6,4,3,1530,0.00559611
1.01646,4,3,3,1530,0.00642436
1.01646,8,5,3,1530,0.00644823
1.0166,8,4,3,1530,0.00658731
1.01674,4,2,3,1530,0.00670756
1.01674,2,3,3,1530,0.00672012
1.01674,6,3,3,1530,0.00673143
1.01674,8,3,3,1530,0.00672515
1.01689,2,2,3,1530,0.00686047
1.01689,6,2,3,1530,0.00686926
1.01689,8,2,3,1530,0.00686675
1.01703,4,1,3,1530,0.00698825
1.01703,2,1,3,1530,0.00700207
1.01703,6,1,3,1530,0.00700835
1.01703,8,1,3,1530,0.00700458
1.01739,2,5,3,1530,0.00734665
1.01739,6,5,3,1530,0.00735796
1.0176,2,4,3,1530,0.0075534
1.0176,6,4,3,1530,0.00757099
1.01774,4,2,3,1530,0.00768244
1.01803,4,1,3,1530,0.00796313
1.01846,4,3,3,1530,0.00839924
1.01924,8,7,3,1530,0.00923771
1.01924,8,7,3,1530,0.00921259
1.01931,8,6,3,1530,0.00930788
1.01931,8,6,3,1530,0.00928276
1.01931,8,6,3,1530,0.00925764
1.01931,8,6,3,1530,0.00923252
1.01931,8,6,3,1530,0.0092074
1.01931,8,6,3,1530,0.00918228
1.01939,2,5,3,1530,0.00932153
1.01939,2,5,3,1530,0.00929641
1.01939,2,5,3,1530,0.00927129
1.01939,2,5,3,1530,0.00924617
1.01939,2,5,3,1530,0.00922105
1.01939,2,5,3,1530,0.00919593
1.01939,2,5,3,1530,0.00917081
1.01939,2,5,3,1530,0.00914569
1.01939,2,5,3,1530,0.00912057
1.01939,2,5,3,1530,0.00909545
1.01939,2,5,3,1530,0.00907033
1.01939,2,5,3,1530,0.00904521
1.01939,2,5,3,1530,0.00902009
1.01939,2,5,3,1530,0.00899497
1.01939,2,5,3,1530,0.00896985
1.01939,2,5,3,1530,0.00894473
1.01939,6,5,3,1530,0.00933284
1.01939,6,5,3,1530,0.00930772
1.01939,6,5,3,1530,0.0092826
1.01939,6,5,3,1530,0.00925748
1.01939,6,5,3,1530,0.00923236
1.01939,6,5,3,1530,0.00920724
1.01939,6,5,3,1530,0.00918212
1.01939,6,5,3,1530,0.009157
1.01939,6,5,3,1530,0.00913188
1.01939,6,5,3,1530,0.00910676
1.01946,4,3,3,1530,0.00937412
1.01946,4,3,3,1530,0.009349
1.01946,4,3,3,1530,0.00932388
1.01946,4,3,3,1530,0.00929876
1.01946,4,3,3,1530,0.00927364
1.01946,4,3,3,1530,0.00924852
1.01946,4,3,3,1530,0.0092234
1.01946,4,3,3,1530,0.00919828
1.01946,4,3,3,1530,0.00917316
1.01946,4,3,3,1530,0.00914804
1.01946,4,3,3,1530,0.00912292
1.01946,4,3,3,1530,0.0090978
1.01946,4,3,3,1530,0.00907268
1.01946,4,3,3,1530,0.00904756
1.01946,4,3,3,1530,0.00902244
1.01946,4,3,3,1530,0.00899732
1.01946,4,3,3,1530,0.0089722
1.01946,4,3,3,1530,0.00894708
1.01946,4,3,3,1530,0.00892196
1.01946,4,3,3,1530,0.00889684
1.01946,4,3,3,1530,0.00887172
1.01946,8,5,3,1530,0.00942311
1.01946,8,5,3,1530,0.00939799
1.01946,8,5,3,1530,0.00937287
1.01946,8,5,3,1530,0.00934775
